place_id,place_name,latitude,longitude,category,subcategory,address,rating,rating_normalized,tags,source,osm_id,website,phone,opening_hours,cuisine,description,wheelchair,fee,image,is_free,is_open_24h,price_level,category_label
OPE_359935319,Fabhotels Imperio,18.565567,73.773515,hotel,hotel,N/A,N/A,,accommodation|stay|lodging,openstreetmap,359935319,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_4520212189,Ganesh Room,18.493525,73.810093,hotel,hostel,N/A,N/A,,accommodation|stay|lodging,openstreetmap,4520212189,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_3662647040,Ganga Bhagyoday,18.470349,73.820829,hotel,apartment,N/A,N/A,,accommodation|stay|lodging,openstreetmap,3662647040,N/A,02041420000,N/A,N/A,Project by Goel Ganga Group,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_360241293,Garuda,18.50778,73.829101,hotel,hotel,N/A,N/A,,accommodation|stay|lodging,openstreetmap,360241293,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_13619809697,Ghode House Dhanori,18.588603,73.891689,hotel,guest_house,"Lane Number 13 Dhanori, Pune, 411015",N/A,,accommodation|stay|lodging,openstreetmap,13619809697,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_4202454789,Ginger Hotel,18.607599,73.75159,hotel,hotel,N/A,N/A,,accommodation|stay|lodging,openstreetmap,4202454789,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_359555753,Ginger Hotel,18.627204,73.803944,hotel,hotel,N/A,N/A,,accommodation|stay|lodging,openstreetmap,359555753,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_359573628,Ginger Hotel,18.606634,73.752443,hotel,hotel,N/A,N/A,,accommodation|stay|lodging,openstreetmap,359573628,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_993387170,Girls' Hostel Pune University,18.550892,73.828551,hotel,hostel,"Ganeshkhind, Pune, 411007",N/A,,accommodation|stay|lodging,openstreetmap,993387170,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_12386171001,Gokul Nagari Society,18.589822,73.822615,hotel,apartment,"Tuljabhavani Nagar Pimple Gurav, 411061",N/A,,accommodation|stay|lodging,openstreetmap,12386171001,N/A,N/A,24/7,N/A,N/A,N/A,N/A,N/A,False,True,budget,Hotel / Accommodation
OPE_11124379987,Grand Regency Pg,18.588118,73.741312,hotel,hostel,N/A,N/A,,accommodation|stay|lodging,openstreetmap,11124379987,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_10727278002,Gurudatta Pg,18.597941,73.764382,hotel,hostel,N/A,N/A,,accommodation|stay|lodging,openstreetmap,10727278002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_12049076647,H.A. Hotel,18.625453,73.81181,hotel,hotel,pimpri,N/A,,accommodation|stay|lodging,openstreetmap,12049076647,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_12863148712,Harita Comfort Inn Pg,18.569183,73.778452,hotel,hostel,N/A,N/A,,accommodation|stay|lodging,openstreetmap,12863148712,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_10725431048,Helloworld Embassy.,18.584953,73.740335,hotel,hostel,N/A,N/A,,accommodation|stay|lodging,openstreetmap,10725431048,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_3536163367,High Bliss,18.447039,73.816739,hotel,apartment,N/A,N/A,,accommodation|stay|lodging,openstreetmap,3536163367,http://ujwalhomes.com/,02024104020,N/A,N/A,Project by Ujwal Fine Homes,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_1059876310,Hilton Garden Inn,18.590529,73.741393,hotel,hotel,"40/3, Survey, Hinjawadi - Wakad Rd, Pune, 411057",N/A,,accommodation|stay|lodging,openstreetmap,1059876310,https://www.hilton.com/en/hotels/pnqhpgi-hilton-garden-inn-pune-hinjawadi,+91 20 3500 4500,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_13519327650,Holiday Inn Express,18.59205,73.742875,hotel,hotel,N/A,N/A,,accommodation|stay|lodging,openstreetmap,13519327650,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_6072672424,Holiday Inn Express Pune Pimpri,18.628212,73.807569,hotel,hotel,"Plot No.- 2 CTS No.- 5758 B, Pune, 411018",N/A,,accommodation|stay|lodging,openstreetmap,6072672424,https://www.ihg.com/holidayinnexpress/hotels/us/en/pune-pimpri/pnqpp/hoteldetail,20-66354444,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_653988393,Holiday Inn Pune Hinjawadi,18.580854,73.760616,hotel,hotel,N/A,4,8.0,accommodation|stay|lodging,openstreetmap,653988393,https://www.ihg.com/holidayinn/hotels/us/en/pune/pnqhj/hoteldetail,+912066862200,N/A,N/A,N/A,N/A,N/A,N/A,False,False,mid-range,Hotel / Accommodation
OPE_10297949409,Hostel No. 6,18.558778,73.822226,hotel,hostel,"IUCAA back side road, Pune, 411 007",N/A,,accommodation|stay|lodging,openstreetmap,10297949409,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_11779880504,Hotel Arusai,18.59678,73.907609,hotel,hotel,"Dhanori - Kalwad Road, Pune",N/A,,accommodation|stay|lodging,openstreetmap,11779880504,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_1067605368,Hotel Green Park,18.550855,73.80397,hotel,hotel,N/A,N/A,,accommodation|stay|lodging,openstreetmap,1067605368,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_10807159518,Hotel Haveli,18.634493,73.84938,hotel,hotel,"Indrayani Nagar Bus Stop, Near, Pune - Nashik Hwy, , Sector No. 1, Bhosari, Pimpri-Chinchwad, Maharashtra, Pune Nashik Road, 411039",N/A,,accommodation|stay|lodging,openstreetmap,10807159518,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_359517269,Hotel Kala Sagar,18.612508,73.81803,hotel,hotel,N/A,N/A,,accommodation|stay|lodging,openstreetmap,359517269,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_7314290486,Hotel Madina Darbar,18.607237,73.755638,hotel,hotel,N/A,N/A,,accommodation|stay|lodging,openstreetmap,7314290486,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_10091349944,Hotel Muktai Veg & Non Veg,18.444521,73.785496,hotel,hotel,"Sinhagad Road, Pune, 411024",N/A,,accommodation|stay|lodging,openstreetmap,10091349944,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_1411440322,Hotel Tip Top International,18.596021,73.75502,hotel,hotel,N/A,N/A,,accommodation|stay|lodging,openstreetmap,1411440322,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
OPE_12863148738,Hotel Yellow House,18.569174,73.780573,hotel,hotel,N/A,N/A,,accommodation|stay|lodging,openstreetmap,12863148738,N/A,+91 76339 47633,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Hotel / Accommodation
