place_id,place_name,latitude,longitude,category,subcategory,address,rating,rating_normalized,tags,source,osm_id,website,phone,opening_hours,cuisine,description,wheelchair,fee,image,is_free,is_open_24h,price_level,category_label
OPE_2801208406,Bal Shivaji Mitra Mandal,18.504466,73.838632,tourist_attraction,place_of_worship,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,2801208406,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_10172994212,Bal Shivaji Mitra Mandal,18.504362,73.838614,tourist_attraction,place_of_worship,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,10172994212,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_2859985516,Bal Tarun Mandal,18.505606,73.825459,tourist_attraction,place_of_worship,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,2859985516,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_552184037,Bal Udyaan Kondhwa,18.460084,73.888727,tourist_attraction,park,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,552184037,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_1534443956,Balbhim Mandir,18.516318,73.836958,tourist_attraction,place_of_worship,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,1534443956,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_1067633190,Balewadi Masjid,18.562375,73.766521,tourist_attraction,place_of_worship,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,1067633190,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_223673901,Baludyan,18.486869,73.946009,tourist_attraction,park,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,223673901,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_264286363,Baneshwar Temple,18.558891,73.787144,tourist_attraction,place_of_worship,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,264286363,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_359955558,Bapuji Buwa Mandir,18.515149,73.771952,tourist_attraction,place_of_worship,"Bavdhan, Pune, 411021",N/A,,tourism|culture|sightseeing|landmark,openstreetmap,359955558,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_910256860,Batatya Maruti,18.520499,73.855404,tourist_attraction,place_of_worship,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,910256860,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_1172947675,Bavdhan Park,18.505974,73.767422,tourist_attraction,park,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,1172947675,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_1450182380,Bavdhan Public Playground,18.516141,73.770894,tourist_attraction,park,"Bavdhan Gaon Rd, Bavdhan, Pune, 411021",N/A,,tourism|culture|sightseeing|landmark,openstreetmap,1450182380,N/A,N/A,9 am to 7 pm IST,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_1104627644,Bavdhan Walking Area,18.518801,73.780502,tourist_attraction,park,"Pashan-Bavdhan Road, Bavdhan, Pune, 411021",N/A,,tourism|culture|sightseeing|landmark,openstreetmap,1104627644,N/A,N/A,sunrise-sunset,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_3708771394,Bedekar Ganapati Mandir,18.511509,73.817467,tourist_attraction,place_of_worship,"MIT College Road, Rambaug Colony, Kothrud, Pune - 411038, 411038",N/A,,tourism|culture|sightseeing|landmark,openstreetmap,3708771394,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_3836998960,Belbag Mandir,18.515669,73.855609,tourist_attraction,place_of_worship,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,3836998960,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_10542446020,Bhairavnath Mandir,18.445411,73.809383,tourist_attraction,place_of_worship,"Pune, 411041",N/A,,tourism|culture|sightseeing|landmark,openstreetmap,10542446020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_360321080,Bhairavnath Mandir,18.448801,73.828839,tourist_attraction,place_of_worship,N/A,N/A,,tourism|culture|sightseeing|landmark,openstreetmap,360321080,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_2036733519,Bhairavnath Mandir,18.506961,73.898773,tourist_attraction,place_of_worship,"Solapur Road, Pune, 411040",N/A,,tourism|culture|sightseeing|landmark,openstreetmap,2036733519,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_6541829419,Bhairavnath Temple,18.553612,73.754324,tourist_attraction,place_of_worship,"Sus Road, 411021",N/A,,tourism|culture|sightseeing|landmark,openstreetmap,6541829419,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
OPE_696610586,Bhairavnath Temple,18.553632,73.754228,tourist_attraction,place_of_worship,"Sus Road, 411021",N/A,,tourism|culture|sightseeing|landmark,openstreetmap,696610586,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,budget,Tourist Attraction
